LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index,
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,,nm^2
ID4777,4777,11,3308,224.6521443,16.64446633,0,4,4,32.40776866,1,,255,255,255,255,842265,0,0.672255776,Infinity,2.170527656,-3.94990855,48.51304456,31.3614369,3.105338622,1.546901206,3299.5,297.551658,0.468309802,0.803384466,5.180101963,36.55955679
ID4780,4780,12,1115,692.9299776,181.3532438,0,4,4,18.86031012,1,,254.0876565,255,0,255,284070,15.23229294,0.998205476,16.66587359,0.59194931,0.532020524,21.04753836,18.46164679,1.198076652,1.140068305,1117.5,143.1325634,0.685457444,0.867287544,4.281684703,12.38227147
ID4781,4781,6,1016,1043.665679,230.6613966,0,4,4,17.94796938,1,,254.4960474,255,0,255,257550,11.33052494,0.996047431,22.41662202,-0.188582363,0.24088951,22.94686673,14.57920716,1.882192486,1.573944762,1012,127.233275,0.785577371,0.945352639,3.999543731,11.2132964
ID4784,4784,7,4111,1215.367447,265.5078427,0,4,4,36.13236774,1,,254.5648464,255,0,255,1044225,10.52624419,0.996424364,24.14051118,-0.173856243,-0.198489055,38.3064709,34.99674033,-0.758163916,1.094572539,4101.5,250.6296158,0.820517415,0.94265686,3.913461183,45.44598338
ID4786,4786,8,1883,948.9998228,502.2815878,0,4,4,24.46918258,1,,254.7288676,255,0,255,479145,8.312760074,0.997873472,30.61049916,-0.205223011,0.723760595,36.13587995,17.84209263,1.716116415,2.025316239,1881,180.1610505,0.728243888,0.963627049,4.154000148,20.84210526
ID4788,4788,9,2405,563.2309747,694.6968783,0,4,4,27.6539238,1,,254.3622343,255,0,255,610215,12.73935505,0.996944645,19.93610002,-0.066230487,-0.053530216,30.0686995,27.42247897,0.285707829,1.096498224,2402.5,210.9129195,0.678682879,0.853160511,4.303001378,26.62049861
ID4790,4790,0,4697,914.6441585,767.4166312,0,4,4,38.68711782,1,,253.970682,255,0,255,1195440,16.1701006,0.997724859,15.68830334,-0.995995114,0.638540854,44.99272904,36.85067935,2.810778298,1.220947072,4702,299.777163,0.657499457,0.84492363,4.371769268,52.09972299
ID4791,4791,1,3765,687.8510497,968.8045885,0,4,4,34.60924879,1,,254.2551779,255,0,255,957525,13.76318177,0.9980474,18.45552215,1.656501123,-0.096680606,49.63413359,27.3435832,-0.921559666,1.815202244,3763,304.2250741,0.510921374,0.796402116,4.959385825,41.69529086
ID4793,4793,10,3820,1151.802055,1003.07667,0,4,4,34.87266724,1,,253.9971159,255,0,255,968745,15.96234561,0.994583934,15.86905971,0.467927636,0.042106282,40.84456442,31.96482907,-0.922294798,1.277797054,3820.5,262.1712549,0.698489565,0.88683844,4.241553711,42.33240997
ID4796,4796,2,4753,403.289062,1021.435382,0,4,4,38.88817647,1,,254.5710681,255,0,255,1210740,10.45067508,0.998314728,24.3387508,-0.121256161,0.267936056,43.25696084,37.38919832,1.363524194,1.156937372,4751,283.3926861,0.743391548,0.900663507,4.111460502,52.64265928
